db_id	OMIM_id	ori_exp	drug_dis	test_train_valid
DB00007	D131200	original	DB00007D131200	train
DB00007	D150699	original	DB00007D150699	train
DB00007	D175510	original	DB00007D175510	train
DB00007	D176807	original	DB00007D176807	train
DB00007	D600082	original	DB00007D600082	train
DB00007	D601518	original	DB00007D601518	train
DB00007	D604416	original	DB00007D604416	train
DB00010	D604416	original	DB00010D604416	train
DB00014	D114480	original	DB00014D114480	train
DB00014	D131200	original	DB00014D131200	test
DB00014	D176807	original	DB00014D176807	test
DB00014	D601518	original	DB00014D601518	train
DB00017	D143880	original	DB00017D143880	train
DB00017	D166710	original	DB00017D166710	train
DB00017	D167320	original	DB00017D167320	train
DB00017	D602080	original	DB00017D602080	train
DB00035	D125700	original	DB00035D125700	train
DB00035	D134430	original	DB00035D134430	train
DB00035	D304900	original	DB00035D304900	train
DB00035	D600631	original	DB00035D600631	train
DB00035	D600808	original	DB00035D600808	train
DB00067	D125700	original	DB00067D125700	train
DB00067	D304900	original	DB00067D304900	test
DB00091	D152700	original	DB00091D152700	train
DB00091	D254200	original	DB00091D254200	train
DB00104	D125852	original	DB00104D125852	train
DB00114	D217200	original	DB00114D217200	train
DB00114	D239350	original	DB00114D239350	train
DB00115	D170900	original	DB00115D170900	train
DB00122	D140600	original	DB00122D140600	train
DB00122	D147530	original	DB00122D147530	train
DB00122	D165720	original	DB00122D165720	train
DB00122	D208230	original	DB00122D208230	train
DB00122	D607459	original	DB00122D607459	train
DB00122	D607850	original	DB00122D607850	train
DB00125	D220120	original	DB00125D220120	train
DB00126	D206200	original	DB00126D206200	train
DB00126	D240400	original	DB00126D240400	train
DB00126	D250790	original	DB00126D250790	train
DB00131	D194200	original	DB00131D194200	train
DB00136	D146255	original	DB00136D146255	train
DB00136	D277440	original	DB00136D277440	train
DB00136	D277460	original	DB00136D277460	train
DB00140	D145590	original	DB00140D145590	train
DB00153	D146255	expanded	DB00153D146255	train
DB00153	D241519	original	DB00153D241519	train
DB00153	D259660	original	DB00153D259660	train
DB00153	D277440	original	DB00153D277440	test
DB00160	D261515	original	DB00160D261515	train
DB00162	D115300	original	DB00162D115300	train
DB00162	D277350	original	DB00162D277350	train
DB00163	D104300	expanded	DB00163D104300	train
DB00163	D125320	expanded	DB00163D125320	train
DB00163	D200170	original	DB00163D200170	train
DB00163	D230450	original	DB00163D230450	train
DB00163	D231900	original	DB00163D231900	train
DB00163	D266120	original	DB00163D266120	train
DB00163	D277460	original	DB00163D277460	valid
DB00163	D605055	expanded	DB00163D605055	train
DB00163	D606703	expanded	DB00163D606703	train
DB00165	D217200	original	DB00165D217200	train
DB00165	D239350	original	DB00165D239350	train
DB00167	D225740	original	DB00167D225740	train
DB00167	D225755	original	DB00167D225755	train
DB00167	D260970	original	DB00167D260970	train
DB00167	D608033	original	DB00167D608033	train
DB00169	D102500	original	DB00169D102500	train
DB00169	D166710	original	DB00169D166710	train
DB00169	D266600	expanded	DB00169D266600	train
DB00175	D144010	original	DB00175D144010	train
DB00175	D601367	original	DB00175D601367	train
DB00176	D164230	expanded	DB00176D164230	train
DB00176	D167870	original	DB00176D167870	train
DB00177	D161900	original	DB00177D161900	train
DB00177	D608622	original	DB00177D608622	train
DB00178	D146255	original	DB00178D146255	train
DB00178	D161900	original	DB00178D161900	train
DB00178	D608622	original	DB00178D608622	test
DB00179	D106400	original	DB00179D106400	train
DB00180	D208550	original	DB00180D208550	train
DB00180	D600807	original	DB00180D600807	train
DB00181	D126200	original	DB00181D126200	train
DB00181	D128101	original	DB00181D128101	train
DB00181	D143100	original	DB00181D143100	train
DB00181	D147530	original	DB00181D147530	train
DB00181	D189600	original	DB00181D189600	train
DB00181	D190400	original	DB00181D190400	train
DB00181	D601042	original	DB00181D601042	train
DB00181	D607225	original	DB00181D607225	train
DB00182	D143465	original	DB00182D143465	train
DB00186	D167870	expanded	DB00186D167870	train
DB00186	D189600	original	DB00186D189600	valid
DB00186	D252320	original	DB00186D252320	train
DB00187	D161900	original	DB00187D161900	train
DB00187	D608622	original	DB00187D608622	test
DB00188	D254500	original	DB00188D254500	train
DB00190	D102300	original	DB00190D102300	train
DB00190	D125320	original	DB00190D125320	train
DB00190	D168100	original	DB00190D168100	train
DB00190	D168600	original	DB00190D168600	train
DB00191	D264120	original	DB00191D264120	train
DB00191	D303110	original	DB00191D303110	train
DB00191	D601665	original	DB00191D601665	train
DB00193	D102300	original	DB00193D102300	train
DB00193	D147530	original	DB00193D147530	test
DB00195	D137750	original	DB00195D137750	train
DB00195	D161900	original	DB00195D161900	valid
DB00195	D608622	original	DB00195D608622	train
DB00199	D604416	original	DB00199D604416	train
DB00201	D136200	original	DB00201D136200	train
DB00201	D140600	original	DB00201D140600	train
DB00201	D145590	original	DB00201D145590	train
DB00201	D147530	original	DB00201D147530	train
DB00201	D157300	original	DB00201D157300	train
DB00203	D161900	original	DB00203D161900	train
DB00203	D178600	expanded	DB00203D178600	train
DB00204	D115000	original	DB00204D115000	train
DB00204	D607554	original	DB00204D607554	train
DB00204	D608583	original	DB00204D608583	train
DB00206	D161900	original	DB00206D161900	train
DB00206	D608622	original	DB00206D608622	train
DB00208	D188050	original	DB00208D188050	train
DB00210	D604416	original	DB00210D604416	train
DB00211	D146500	original	DB00211D146500	train
DB00211	D157700	original	DB00211D157700	train
DB00211	D252320	original	DB00211D252320	train
DB00213	D109350	original	DB00213D109350	train
DB00213	D190310	original	DB00213D190310	train
DB00213	D600263	original	DB00213D600263	train
DB00214	D146255	original	DB00214D146255	train
DB00214	D161900	original	DB00214D161900	train
DB00214	D166300	expanded	DB00214D166300	train
DB00214	D208300	original	DB00214D208300	train
DB00214	D215140	original	DB00214D215140	train
DB00214	D600351	original	DB00214D600351	train
DB00214	D608622	original	DB00214D608622	train
DB00215	D103780	expanded	DB00215D103780	train
DB00215	D131300	original	DB00215D131300	train
DB00215	D164230	expanded	DB00215D164230	train
DB00215	D167870	expanded	DB00215D167870	train
DB00215	D182830	original	DB00215D182830	train
DB00215	D225740	original	DB00215D225740	train
DB00215	D225755	original	DB00215D225755	train
DB00215	D260970	original	DB00215D260970	test
DB00215	D608033	original	DB00215D608033	test
DB00216	D157300	original	DB00216D157300	train
DB00216	D300125	original	DB00216D300125	train
DB00216	D607498	original	DB00216D607498	train
DB00216	D607501	original	DB00216D607501	train
DB00216	D607508	original	DB00216D607508	train
DB00216	D607516	original	DB00216D607516	train
DB00218	D208550	original	DB00218D208550	train
DB00221	D208550	original	DB00221D208550	train
DB00221	D210050	original	DB00221D210050	train
DB00221	D600807	original	DB00221D600807	valid
DB00222	D125850	original	DB00222D125850	train
DB00222	D125851	original	DB00222D125851	train
DB00222	D125853	original	DB00222D125853	train
DB00222	D600496	original	DB00222D600496	train
DB00226	D161900	original	DB00226D161900	train
DB00226	D608622	original	DB00226D608622	valid
DB00227	D144010	expanded	DB00227D144010	train
DB00227	D608320	original	DB00227D608320	train
DB00230	D102300	original	DB00230D102300	train
DB00230	D147530	original	DB00230D147530	train
DB00230	D165199	original	DB00230D165199	train
DB00232	D215140	original	DB00232D215140	train
DB00240	D233810	original	DB00240D233810	train
DB00241	D145590	original	DB00241D145590	train
DB00241	D157300	original	DB00241D157300	train
DB00242	D109543	original	DB00242D109543	train
DB00242	D126200	original	DB00242D126200	test
DB00242	D151400	original	DB00242D151400	train
DB00242	D258360	original	DB00242D258360	train
DB00242	D276300	original	DB00242D276300	train
DB00244	D266600	original	DB00244D266600	train
DB00245	D125320	original	DB00245D125320	train
DB00245	D168100	original	DB00245D168100	test
DB00245	D168600	original	DB00245D168600	train
DB00246	D137580	original	DB00246D137580	train
DB00246	D181500	original	DB00246D181500	train
DB00248	D600634	original	DB00248D600634	train
DB00252	D104130	original	DB00252D104130	train
DB00252	D115000	original	DB00252D115000	train
DB00252	D165199	original	DB00252D165199	train
DB00252	D217200	original	DB00252D217200	test
DB00255	D276300	original	DB00255D276300	train
DB00257	D114580	original	DB00257D114580	train
DB00257	D212050	original	DB00257D212050	train
DB00262	D109543	original	DB00262D109543	train
DB00262	D137800	original	DB00262D137800	train
DB00262	D236000	original	DB00262D236000	train
DB00262	D247640	original	DB00262D247640	train
DB00262	D254500	original	DB00262D254500	train
DB00262	D267730	original	DB00262D267730	train
DB00262	D276300	original	DB00262D276300	test
DB00264	D110100	original	DB00264D110100	train
DB00264	D157700	original	DB00264D157700	valid
DB00264	D161900	original	DB00264D161900	train
DB00264	D190300	original	DB00264D190300	train
DB00264	D607554	original	DB00264D607554	test
DB00264	D608583	original	DB00264D608583	train
